accno,authormain,booktitle,publisher,publishyear,edition,volume,pages,price,status,subjectid,copy
47,JAIN & RAWAT,DISCRET MATHEMATICAL STRECTURE,CBC,2006,3,0,0,170,1,4,
48,JAIN & RAWAT,DISCRET MATHEMATICAL STRECTURE,CBC,2006,3,0,0,170,1,4,
49,JAIN & RAWAT,DISCRET MATHEMATICAL STRECTURE,CBC,2006,3,0,0,170,1,4,
51,JAIN & RAWAT,OPTIMIZATION TECHNIQUES,CBC,2007,4,0,544,250,1,4,
52,JAIN & RAWAT,OPTIMIZATION TECHNIQUES,CBC,2007,4,0,544,250,1,4,
53,JAIN & RAWAT,OPTIMIZATION TECHNIQUES,CBC,2007,4,0,544,250,1,4,
54,JAIN & RAWAT,OPTIMIZATION TECHNIQUES,CBC,2007,4,0,544,250,1,4,
55,JAIN & RAWAT,OPTIMIZATION TECHNIQUES,CBC,2007,4,0,544,250,1,4,
56,JAIN & RAWAT,OPTIMIZATION TECHNIQUES,CBC,2007,4,0,544,250,1,4,
57,JAIN & RAWAT,OPTIMIZATION TECHNIQUES,CBC,2007,4,0,544,250,1,4,
58,JAIN & RAWAT,OPTIMIZATION TECHNIQUES,CBC,2007,4,0,544,250,1,4,
59,JAIN & RAWAT,OPTIMIZATION TECHNIQUES,CBC,2007,4,0,544,250,1,4,
60,JAIN & RAWAT,OPTIMIZATION TECHNIQUES,CBC,2007,4,0,544,250,1,4,
61,JAIN & RAWAT,OPTIMIZATION TECHNIQUES,CBC,2007,4,0,544,250,1,4,
62,JAIN & RAWAT,OPTIMIZATION TECHNIQUES,CBC,2007,4,0,544,250,1,4,
63,JAIN & RAWAT,OPTIMIZATION TECHNIQUES,CBC,2007,4,0,544,250,1,4,
64,JAIN & RAWAT,OPTIMIZATION TECHNIQUES,CBC,2007,4,0,544,250,1,4,
65,JAIN & RAWAT,OPTIMIZATION TECHNIQUES,CBC,2007,4,0,544,250,1,4,
66,JAIN & RAWAT,OPTIMIZATION TECHNIQUES,CBC,2007,4,0,544,250,1,4,
67,JAIN & RAWAT,OPTIMIZATION TECHNIQUES,CBC,2007,4,0,544,250,1,4,
68,JAIN & RAWAT,OPTIMIZATION TECHNIQUES,CBC,2007,4,0,544,250,1,4,
69,JAIN & RAWAT,OPTIMIZATION TECHNIQUES,CBC,2007,4,0,544,250,1,4,
71,JAIN & RAWAT,STATISTICS PROBABILITY RANDOM PROCESS,CBC,2007,5,0,480,200,1,4,
72,JAIN & RAWAT,STATISTICS PROBABILITY RANDOM PROCESS,CBC,2007,5,0,480,200,1,4,
73,JAIN & RAWAT,STATISTICS PROBABILITY RANDOM PROCESS,CBC,2007,5,0,480,200,1,4,
74,JAIN & RAWAT,STATISTICS PROBABILITY RANDOM PROCESS,CBC,2007,5,0,480,200,1,4,
75,JAIN & RAWAT,STATISTICS PROBABILITY RANDOM PROCESS,CBC,2007,5,0,480,200,1,4,
76,JAIN & RAWAT,STATISTICS PROBABILITY RANDOM PROCESS,CBC,2007,5,0,480,200,1,4,
77,JAIN & RAWAT,STATISTICS PROBABILITY RANDOM PROCESS,CBC,2007,5,0,480,200,1,4,
78,JAIN & RAWAT,STATISTICS PROBABILITY RANDOM PROCESS,CBC,2007,5,0,480,200,1,17,
79,JAIN & RAWAT,STATISTICS PROBABILITY RANDOM PROCESS,CBC,2007,5,0,480,200,1,4,
81,SANTOSH KUMAR & GUPTA,A TEXT BOOK OF ENGINEERING CHEMISTRY,CBC,2007,,0,0,175,1,13,
82,SANTOSH KUMAR & GUPTA,A TEXT BOOK OF ENGINEERING CHEMISTRY,CBC,2007,,0,0,175,1,13,
83,SANTOSH KUMAR & GUPTA,A TEXT BOOK OF ENGINEERING CHEMISTRY,CBC,2007,,0,0,175,1,13,
84,SANTOSH KUMAR & GUPTA,A TEXT BOOK OF ENGINEERING CHEMISTRY,CBC,2007,,0,0,175,1,13,
85,SANTOSH KUMAR & GUPTA,A TEXT BOOK OF ENGINEERING CHEMISTRY,CBC,2007,,0,0,175,1,13,
86,SANTOSH KUMAR & GUPTA,A TEXT BOOK OF ENGINEERING CHEMISTRY,CBC,2007,,0,0,175,1,13,
87,SANTOSH KUMAR & GUPTA,A TEXT BOOK OF ENGINEERING CHEMISTRY,CBC,2007,,0,0,175,1,13,
88,SANTOSH KUMAR & GUPTA,A TEXT BOOK OF ENGINEERING CHEMISTRY,CBC,2007,,0,0,175,1,13,
89,SANTOSH KUMAR & GUPTA,A TEXT BOOK OF ENGINEERING CHEMISTRY,CBC,2007,,0,0,175,1,13,
90,SANTOSH KUMAR & GUPTA,A TEXT BOOK OF ENGINEERING CHEMISTRY,CBC,2007,,0,0,175,1,13,10
91,JAIN & RAWAT,MATHEMATICS  1,CBC,2007,,1,0,200,1,4,
92,JAIN & RAWAT,MATHEMATICS  1,CBC,2007,,1,0,200,1,4,2
93,JAIN & RAWAT,MATHEMATICS  1,CBC,2007,,1,0,200,1,4,3
95,JAIN & RAWAT,MATHEMATICS  1,CBC,2007,,1,0,200,1,4,5
96,JAIN & RAWAT,MATHEMATICS  1,CBC,2007,,1,0,200,1,4,6
98,JAIN & RAWAT,MATHEMATICS  1,CBC,2007,,1,0,200,1,4,8
99,JAIN & RAWAT,MATHEMATICS  1,CBC,2007,,1,0,200,1,4,9
100,JAIN & RAWAT,MATHEMATICS  1,CBC,2007,,1,0,200,1,4,10
101,JAIN & RAWAT,MATHEMATICS  2,CBC,2007,,1,0,200,1,4,11
102,JAIN & RAWAT,MATHEMATICS  2,CBC,2007,,1,0,200,1,4,12
103,JAIN & RAWAT,MATHEMATICS  2,CBC,2007,,1,0,200,1,4,13
104,JAIN & RAWAT,MATHEMATICS  2,CBC,2007,,1,0,200,1,4,14
105,JAIN & RAWAT,MATHEMATICS  2,CBC,2007,,1,0,200,1,4,15
106,JAIN & RAWAT,MATHEMATICS  2,CBC,2007,,1,0,200,1,4,16
107,JAIN & RAWAT,MATHEMATICS  2,CBC,2007,,1,0,200,1,4,17
108,JAIN & RAWAT,MATHEMATICS  2,CBC,2007,,1,0,200,1,4,18
109,JAIN & RAWAT,MATHEMATICS  2,CBC,2007,,1,0,200,1,4,19
111,JAIN & RAWAT,MATHEMATICS   3,CBC,2007,,0,0,150,1,4,21
112,JAIN & RAWAT,MATHEMATICS   3,CBC,2007,,0,0,150,1,4,22
113,JAIN & RAWAT,MATHEMATICS   3,CBC,2007,,0,0,150,1,4,23
114,JAIN & RAWAT,MATHEMATICS   3,CBC,2007,,0,0,150,1,4,24
115,JAIN & RAWAT,MATHEMATICS   3,CBC,2007,,0,0,150,1,4,25
118,JAIN & RAWAT,MATHEMATICS   3,CBC,2007,,0,0,150,1,4,28
119,JAIN & RAWAT,MATHEMATICS   3,CBC,2007,,0,0,150,1,4,29
121,GUPTA & DUBEY,PRACTICAL ENGINEERING CHEMISTRY,CBC,2007,2,0,257,100,1,13,
122,GUPTA & DUBEY,PRACTICAL ENGINEERING CHEMISTRY,CBC,2007,2,0,257,100,1,13,
123,GUPTA & DUBEY,PRACTICAL ENGINEERING CHEMISTRY,CBC,2007,2,0,257,100,1,13,
124,GUPTA & DUBEY,PRACTICAL ENGINEERING CHEMISTRY,CBC,2007,2,0,257,100,1,13,
125,GUPTA & DUBEY,PRACTICAL ENGINEERING CHEMISTRY,CBC,2007,2,0,257,100,1,13,
126,GUPTA & DUBEY,PRACTICAL ENGINEERING CHEMISTRY,CBC,2007,2,0,257,100,1,13,
127,GUPTA & DUBEY,PRACTICAL ENGINEERING CHEMISTRY,CBC,2007,2,0,257,100,1,13,
128,GUPTA & DUBEY,PRACTICAL ENGINEERING CHEMISTRY,CBC,2007,2,0,257,100,1,13,
129,GUPTA & DUBEY,PRACTICAL ENGINEERING CHEMISTRY,CBC,2007,2,0,257,100,1,13,
130,GUPTA & DUBEY,PRACTICAL ENGINEERING CHEMISTRY,CBC,2007,2,0,257,100,1,13,10
132,LADIWALA  G.D,ENGINEERING  PHYSICS,CBC,2003,3,0,7.2,175,1,7,
133,LADIWALA  G.D,ENGINEERING  PHYSICS,CBC,2003,3,0,7.2,175,1,7,
134,LADIWALA  G.D,ENGINEERING  PHYSICS,CBC,2003,3,0,7.2,175,1,7,
135,LADIWALA  G.D,ENGINEERING  PHYSICS,CBC,2003,3,0,7.2,175,1,7,
136,LADIWALA  G.D,ENGINEERING  PHYSICS,CBC,2003,3,0,7.2,175,1,7,
137,LADIWALA  G.D,ENGINEERING  PHYSICS,CBC,2003,3,0,7.2,175,1,7,
138,LADIWALA  G.D,ENGINEERING  PHYSICS,CBC,2003,3,0,7.2,175,1,7,
139,LADIWALA  G.D,ENGINEERING  PHYSICS,CBC,2003,3,0,7.2,175,1,7,
141,LADIWALA. G.D,ENGINEERING PRACTICAL PHYSICS,COLLEGE BOOK JAIPUR,2006,,0,218,100,1,7,
142,LADIWALA. G.D,ENGINEERING PRACTICAL PHYSICS,COLLEGE BOOK JAIPUR,2006,,0,218,100,1,7,
143,LADIWALA. G.D,ENGINEERING PRACTICAL PHYSICS,COLLEGE BOOK JAIPUR,2006,,0,218,100,1,7,
144,LADIWALA. G.D,ENGINEERING PRACTICAL PHYSICS,COLLEGE BOOK JAIPUR,2006,,0,218,100,1,7,
145,LADIWALA. G.D,ENGINEERING PRACTICAL PHYSICS,COLLEGE BOOK JAIPUR,2006,,0,218,100,1,7,
146,LADIWALA. G.D,ENGINEERING PRACTICAL PHYSICS,COLLEGE BOOK JAIPUR,2006,,0,218,100,1,7,
147,LADIWALA. G.D,ENGINEERING PRACTICAL PHYSICS,COLLEGE BOOK JAIPUR,2006,,0,218,100,1,7,
148,LADIWALA. G.D,ENGINEERING PRACTICAL PHYSICS,COLLEGE BOOK JAIPUR,2006,,0,218,100,1,7,
150,LADIWALA. G.D,ENGINEERING PRACTICAL PHYSICS,COLLEGE BOOK JAIPUR,2006,,0,218,100,1,7,10
151,JAIN & RAWAT,ADVANCED ENGINEERING MATHEMATICS,JAIPUR COLLGE,,,0,287,130,1,4,
152,JAIN & RAWAT,ADVANCED ENGINEERING MATHEMATICS,JAIPUR COLLGE,,,0,287,130,1,4,
153,JAIN & RAWAT,ADVANCED ENGINEERING MATHEMATICS,JAIPUR COLLGE,,,0,287,130,1,4,
154,JAIN & RAWAT,ADVANCED ENGINEERING MATHEMATICS,JAIPUR COLLGE,,,0,287,130,1,4,
155,JAIN & RAWAT,ADVANCED ENGINEERING MATHEMATICS,JAIPUR COLLGE,,,0,287,130,1,4,
157,JAIN & RAWAT,ADVANCED ENGINEERING MATHEMATICS,JAIPUR COLLGE,,,0,287,130,1,4,
158,JAIN & RAWAT,ADVANCED ENGINEERING MATHEMATICS,JAIPUR COLLGE,,,0,287,130,1,4,
159,JAIN & RAWAT,ADVANCED ENGINEERING MATHEMATICS,JAIPUR COLLGE,,,0,287,130,1,4,
162,BALAGURUSEMY. E,PROGRAMMING WITH JAVA,TATA McGRAW HILL,2007,3,0,490,250,1,10,
164,BALAGURUSEMY. E,PROGRAMMING WITH JAVA,TATA McGRAW HILL,2007,3,0,490,250,1,10,
165,BALAGURUSEMY. E,PROGRAMMING WITH JAVA,TATA McGRAW HILL,2007,3,0,490,250,1,10,
166,BALAGURUSEMY. E,PROGRAMMING WITH JAVA,TATA McGRAW HILL,2007,3,0,490,250,1,10,
167,BALAGURUSEMY. E,PROGRAMMING WITH JAVA,TATA McGRAW HILL,2007,3,0,490,250,1,10,
168,BALAGURUSEMY. E,PROGRAMMING WITH JAVA,TATA McGRAW HILL,2007,3,0,490,250,1,10,
171,BALAGURUSEMY. E,PROGRAMMING IN ANSCI,TATA McGRAW HILL,2006,3,0,493,199,1,10,
175,BALAGURUSEMY. E,PROGRAMMING IN ANSCI,TATA McGRAW HILL,2006,3,0,493,199,1,10,
176,BALAGURUSEMY. E,PROGRAMMING IN ANSCI,TATA McGRAW HILL,2006,3,0,493,199,1,10,
177,BALAGURUSEMY. E,PROGRAMMING IN ANSCI,TATA McGRAW HILL,2006,3,0,493,199,1,10,
178,BALAGURUSEMY. E,PROGRAMMING IN ANSCI,TATA McGRAW HILL,2006,3,0,493,199,1,10,
179,BALAGURUSEMY. E,PROGRAMMING IN ANSCI,TATA McGRAW HILL,2006,3,0,493,199,1,10,
180,BALAGURUSEMY. E,PROGRAMMING IN ANSCI,TATA McGRAW HILL,2006,3,0,493,199,1,10,10
181,SCHILDT HERBERT,TECH YOURSELF C++,TATA McGRAW HILL,2006,3,0,747,395,1,10,
182,SCHILDT HERBERT,TECH YOURSELF C++,TATA McGRAW HILL,2006,3,0,747,395,1,10,2
183,ALEXANDER & SADIKU,FUNDAMENTAL OF ELECTRIC CIRCUITS,TATA McGRAW HILL,2006,2,0,1040,550,1,5,
184,ALEXANDER & SADIKU,FUNDAMENTAL OF ELECTRIC CIRCUITS,TATA McGRAW HILL,2006,2,0,1040,550,1,5,2
185,GOPAL. M,DIGITAL CONTROL & STAT VARIABLE METHODS,TATA McGRAW HILL,2006,2,0,998,325,1,10,
186,GOPAL. M,DIGITAL CONTROL & STAT VARIABLE METHODS,TATA McGRAW HILL,2006,2,0,998,325,1,10,
187,GOPAL. M,DIGITAL CONTROL & STAT VARIABLE METHODS,TATA McGRAW HILL,2006,2,0,998,325,1,10,
188,GOPAL. M,DIGITAL CONTROL & STAT VARIABLE METHODS,TATA McGRAW HILL,2006,2,0,998,325,1,10,4
189,CHARLES CROWLEY,OPERTING SYSTEMS,TATA McGRAW HILL,2007,,0,844,395,1,10,
190,CHARLES CROWLEY,OPERTING SYSTEMS,TATA McGRAW HILL,2007,,0,844,395,1,10,2
191,HAYT & OTHERS,ENGINEERING ELECTROMAGNETICS,TATA McRAW HILL,2006,17,0,582,260,1,5,
192,HAYT & OTHERS,ENGINEERING ELECTROMAGNETICS,TATA McRAW HILL,2006,17,0,582,260,1,5,
193,HAYT & OTHERS,ENGINEERING ELECTROMAGNETICS,TATA McRAW HILL,2006,17,0,582,260,1,5,
194,HAYT & OTHERS,ENGINEERING ELECTROMAGNETICS,TATA McRAW HILL,2006,17,0,582,260,1,5,
195,HAYT & OTHERS,ENGINEERING ELECTROMAGNETICS,TATA McRAW HILL,2006,17,0,582,260,1,5,5
196,GUPTA R.G,AUDIO & VEDIO SYSTEMS,TATA McGRAW HILL,2007,23,0,334,150,1,10,
197,BALAGURUSAMY .E,OBJECT ORINTED PROGRAMMING WITH C++,TATA McGRAW HILL,2007,3,0,614,210,1,10,
198,BALAGURUSAMY .E,OBJECT ORINTED PROGRAMMING WITH C++,TATA McGRAW HILL,2007,3,0,614,210,1,10,
199,BALAGURUSAMY .E,OBJECT ORINTED PROGRAMMING WITH C++,TATA McGRAW HILL,2007,3,0,614,210,1,10,
200,BALAGURUSAMY .E,OBJECT ORINTED PROGRAMMING WITH C++,TATA McGRAW HILL,2007,3,0,614,210,1,10,
201,BALAGURUSAMY .E,OBJECT ORINTED PROGRAMMING WITH C++,TATA McGRAW HILL,2007,3,0,614,210,1,10,
202,BALAGURUSAMY .E,OBJECT ORINTED PROGRAMMING WITH C++,TATA McGRAW HILL,2007,3,0,614,210,1,10,
204,BALAGURUSAMY .E,OBJECT ORINTED PROGRAMMING WITH C++,TATA McGRAW HILL,2007,3,0,614,210,1,10,
205,BALAGURUSAMY .E,OBJECT ORINTED PROGRAMMING WITH C++,TATA McGRAW HILL,2007,3,0,614,210,1,10,
206,BALAGURUSAMY .E,OBJECT ORINTED PROGRAMMING WITH C++,TATA McGRAW HILL,2007,3,0,614,210,1,10,10
207,APPLEBY & JULIUS,PROGRAMING LANGUAGES,TATA McGRAW HILL,2005,2,0,444,275,1,10,
208,APPLEBY & JULIUS,PROGRAMING LANGUAGES,TATA McGRAW HILL,2005,2,0,444,275,1,10,
209,APPLEBY & JULIUS,PROGRAMING LANGUAGES,TATA McGRAW HILL,2005,2,0,444,275,1,10,
210,APPLEBY & JULIUS,PROGRAMING LANGUAGES,TATA McGRAW HILL,2005,2,0,444,275,1,10,
211,APPLEBY & JULIUS,PROGRAMING LANGUAGES,TATA McGRAW HILL,2005,2,0,444,275,1,10,
212,APPLEBY & JULIUS,PROGRAMING LANGUAGES,TATA McGRAW HILL,2005,2,0,444,275,1,10,
213,APPLEBY & JULIUS,PROGRAMING LANGUAGES,TATA McGRAW HILL,2005,2,0,444,275,1,10,
214,APPLEBY & JULIUS,PROGRAMING LANGUAGES,TATA McGRAW HILL,2005,2,0,444,275,1,10,
215,APPLEBY & JULIUS,PROGRAMING LANGUAGES,TATA McGRAW HILL,2005,2,0,444,275,1,10,
216,APPLEBY & JULIUS,PROGRAMING LANGUAGES,TATA McGRAW HILL,2005,2,0,444,275,1,10,10
217,TREMBLAY & OTHERS,DISCRETE MATHEMATICAL STRUCTURES WITH APP TO COMPUTER SCIENCE,TATA McGRAW HILL,2006,,0,606,275,1,4,
218,TREMBLAY & OTHERS,DISCRETE MATHEMATICAL STRUCTURES WITH APP TO COMPUTER SCIENCE,TATA McGRAW HILL,2006,,0,606,275,1,4,
219,TREMBLAY & OTHERS,DISCRETE MATHEMATICAL STRUCTURES WITH APP TO COMPUTER SCIENCE,TATA McGRAW HILL,2006,,0,606,275,1,4,
220,TREMBLAY & OTHERS,DISCRETE MATHEMATICAL STRUCTURES WITH APP TO COMPUTER SCIENCE,TATA McGRAW HILL,2006,,0,606,275,1,4,
221,TREMBLAY & OTHERS,DISCRETE MATHEMATICAL STRUCTURES WITH APP TO COMPUTER SCIENCE,TATA McGRAW HILL,2006,,0,606,275,1,4,
222,TREMBLAY & OTHERS,DISCRETE MATHEMATICAL STRUCTURES WITH APP TO COMPUTER SCIENCE,TATA McGRAW HILL,2006,,0,606,275,1,4,
223,TREMBLAY & OTHERS,DISCRETE MATHEMATICAL STRUCTURES WITH APP TO COMPUTER SCIENCE,TATA McGRAW HILL,2006,,0,606,275,1,4,
224,TREMBLAY & OTHERS,DISCRETE MATHEMATICAL STRUCTURES WITH APP TO COMPUTER SCIENCE,TATA McGRAW HILL,2006,,0,606,275,1,4,
225,TREMBLAY & OTHERS,DISCRETE MATHEMATICAL STRUCTURES WITH APP TO COMPUTER SCIENCE,TATA McGRAW HILL,2006,,0,606,275,1,4,10
226,TREMBLAY & OTHERS,DISCRETE MATHEMATICAL STRUCTURES WITH APP TO COMPUTER SCIENCE,TATA McGRAW HILL,2006,,0,606,275,1,4,
227,MOTHIKI S PRAKASH ROA,PULSE & DIGITAL CIRCUITS,TATA McGRAW HILL,2006,,0,670,250,1,12,2
228,MOTHIKI S PRAKASH ROA,PULSE & DIGITAL CIRCUITS,TATA McGRAW HILL,2006,,0,670,250,1,12,
229,ADTYA P MATHUR,INTRODUCATION TO MICROPROCESSORS,TATA McGRAW HILL,2008,3,0,612,225,1,10,2
230,ADTYA P MATHUR,INTRODUCATION TO MICROPROLESSORS,TATA McGRAW HILL,,3,0,612,225,1,10,
231,KOTHARI & NAGRATH,BASIC ELECTRICAL ENGINEERING,TATA McGRAW HILL,2007,2,0,666,220,1,12,5
232,KOTHARI & NAGRATH,BASIC ELECTRICAL ENGINEERING,TATA McGRAW HILL,2007,2,0,666,220,1,12,
233,KOTHARI & NAGRATH,BASIC ELECTRICAL ENGINEERING,TATA McGRAW HILL,2007,2,0,666,220,1,12,
234,KOTHARI & NAGRATH,BASIC ELECTRICAL ENGINEERING,TATA McGRAW HILL,2007,2,0,666,220,1,12,
235,KOTHARI & NAGRATH,BASIC ELECTRICAL ENGINEERING,TATA McGRAW HILL,2007,2,0,666,220,1,12,
236,TAUB & SCHILLING,PRINCIPAL OF COMMNUICATION SYSTEMS,TATA McGRAW HILL,2007,2,0,759,260,1,11,
237,TAUB & SCHILLING,PRINCIPAL OF COMMNUICATION SYSTEMS,TATA McGRAW HILL,2007,2,0,759,260,1,11,
238,TAUB & SCHILLING,PRINCIPAL OF COMMNUICATION SYSTEMS,TATA McGRAW HILL,2007,2,0,759,260,1,11,
239,TAUB & SCHILLING,PRINCIPAL OF COMMNUICATION SYSTEMS,TATA McGRAW HILL,2007,2,0,759,260,1,11,
240,TAUB & SCHILLING,PRINCIPAL OF COMMNUICATION SYSTEMS,TATA McGRAW HILL,2007,2,0,759,260,1,11,5
241,ROGER S PRESSMAN,SOFTWARE ENGINEERING,TATA McGRAW HILL,2005,6,0,912,426,1,10,
242,ROGER S PRESSMAN,SOFTWARE ENGINEERING,TATA McGRAW HILL,2005,6,0,912,426,1,10,
243,ROGER S PRESSMAN,SOFTWARE ENGINEERING,TATA McGRAW HILL,2005,6,0,912,426,1,10,
244,ROGER S PRESSMAN,SOFTWARE ENGINEERING,TATA McGRAW HILL,2005,6,0,912,426,1,10,
245,ROGER S PRESSMAN,SOFTWARE ENGINEERING,TATA McGRAW HILL,2005,6,0,912,426,1,10,
246,ROGER S PRESSMAN,SOFTWARE ENGINEERING,TATA McGRAW HILL,2005,6,0,912,426,1,10,
247,ROGER S PRESSMAN,SOFTWARE ENGINEERING,TATA McGRAW HILL,2005,6,0,912,426,1,10,
248,ROGER S PRESSMAN,SOFTWARE ENGINEERING,TATA McGRAW HILL,2005,6,0,912,426,1,10,
249,ROGER S PRESSMAN,SOFTWARE ENGINEERING,TATA McGRAW HILL,2005,6,0,912,426,1,10,
250,ROGER S PRESSMAN,SOFTWARE ENGINEERING,TATA McGRAW HILL,2005,6,0,912,426,1,10,10
251,MILLMAN & HALKIS,INTERGRATED ELECTRONICS,TATA McGRAW HILL,1972,42,0,910,299,1,5,
252,MILLMAN & HALKIS,INTERGRATED ELECTRONICS,TATA McGRAW HILL,1972,42,0,910,299,1,5,
253,MILLMAN & HALKIS,INTERGRATED ELECTRONICS,TATA McGRAW HILL,1972,42,0,910,299,1,5,
254,MILLMAN & HALKIS,INTERGRATED ELECTRONICS,TATA McGRAW HILL,1972,42,0,910,299,1,5,
255,MILLMAN & HALKIS,INTERGRATED ELECTRONICS,TATA McGRAW HILL,1972,42,0,910,299,1,5,5
256,HERBERT SCHILDT,THE COMPLETE REFEENCE C++,TATA McGRAW HILL,2006,4,0,1023,465,1,10,
257,HERBERT SCHILDT,THE COMPLETE REFEENCE C++,TATA McGRAW HILL,2006,4,0,1023,465,1,10,
258,HERBERT SCHILDT,THE COMPLETE REFEENCE C++,TATA McGRAW HILL,2006,4,0,1023,465,1,10,
259,HERBERT SCHILDT,THE COMPLETE REFEENCE C++,TATA McGRAW HILL,2006,4,0,1023,465,1,10,
260,HERBERT SCHILDT,THE COMPLETE REFEENCE C++,TATA McGRAW HILL,2006,4,0,1023,465,1,10,
261,HERBERT SCHILDT,THE COMPLETE REFEENCE C++,TATA McGRAW HILL,2006,4,0,1023,465,1,10,
262,HERBERT SCHILDT,THE COMPLETE REFEENCE C++,TATA McGRAW HILL,2006,4,0,1023,465,1,10,
263,HERBERT SCHILDT,THE COMPLETE REFEENCE C++,TATA McGRAW HILL,2006,4,0,1023,465,1,10,
264,HERBERT SCHILDT,THE COMPLETE REFEENCE C++,TATA McGRAW HILL,2006,4,0,1023,465,1,10,
265,HERBERT SCHILDT,THE COMPLETE REFEENCE C++,TATA McGRAW HILL,2006,4,0,1023,465,1,10,10
266,RICHARD  DEAL,CCNA  STUDY  GUIDE,TATA McGRAW HILL,,,0,816,615,1,10,
267,JIM KEOGH,ASP. NET 2.0  DEMYSTIFIED,TATA McGRAW HILL,2005,,0,265,295,1,10,
268,KALSI H.S,ELECTRONICS INSTRUMENTATION,TATA McGRAW HILL,2007,2,0,801,240,1,5,
269,KALSI H.S,ELECTRONICS INSTRUMENTATION,TATA McGRAW HILL,2007,2,0,801,240,1,5,
270,KALSI H.S,ELECTRONICS INSTRUMENTATION,TATA McGRAW HILL,2007,2,0,801,240,1,5,
